"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",6.58300283876687,0.08642562170835,76.1695745849734,6.11486853000052e-177
"2","PricePerUnit",-0.00769210995285975,0.00135695543545848,-5.66865333367474,3.89959726677225e-08
"3","Print",3.5269028078304e-05,7.32910701542287e-06,4.81218626008411,2.56350787177787e-06
"4","Outdoor",-0.000228172214010944,9.01128833292461e-05,-2.53207094902589,0.0119425601858559
"5","Broad",-4.39154793051445e-05,4.20032818618546e-05,-1.04552495325434,0.296774369425742
"6","LagTotalSales",0.000541915663645728,3.45899233784713e-05,15.6668651073976,3.60532387194135e-39
"7","Tier1",0.365394561030955,0.20764217544567,1.75973190536409,0.079657055164827
"8","Tier2",-0.426428059954868,0.117416610048517,-3.63175243927298,0.000340485756795805
"9","Firstintro",-0.941072519921796,0.257890771023962,-3.64911282472514,0.000319357984705966
